pdbid,ligand_id,ligand_resnum,rna_chain,ligand_chain
4v8j,PAR,1694,AA,ZG
4v8j,PAR,1695,CA,IV
4v97,PAR,7111,AA,QH
4v97,PAR,1741,CA,MAA
4v9a,TAC,1833,AA,AM
4v9a,TAC,1805,CA,MUA
4v9b,T1C,1837,AA,GM
4v9b,T1C,1800,CA,KUA
4v9c,NMY,1656,AA,IF
4v9c,NMY,1657,AA,JF
4v9c,NMY,3161,BA,QL
4v9c,NMY,3167,BA,WL
4v9c,NMY,1672,CA,ZO
4v9c,NMY,3184,DA,CW
4v9c,NMY,3187,DA,FW
4v9c,NMY,3190,DA,IW
4v9q,BLS,4001,AA,ED
4v9q,BLS,4405,CA,ZJE
4w29,NMY,1601,AA,UD
4w29,NMY,2902,BA,WD
4w29,NMY,2903,BA,XD
4w29,NMY,2904,BA,YD
4w29,NMY,2901,DA,DE
4w2i,NEG,3216,AA,PL
4w2i,NEG,3218,AA,RL
4w2i,NEG,3219,AA,SL
4w2i,NEG,3004,AW,QM
4w2i,NEG,3013,AX,EN
4w2i,NEG,3170,CA,PCB
4w2i,NEG,3172,CA,RCB
4w2i,NEG,3173,CA,SCB
4w2i,NEG,3002,CW,LDB
4wf1,NEG,1657,CA,RP
4wfa,ZLD,3001,X,CA
4wfb,3LK,3001,X,CA
4wfb,EPE,3423,X,IQ
4wfn,ERY,2902,X,JA
4woi,PAR,1672,AA,ZF
4woi,PAR,3001,BA,BG
4woi,PAR,3005,BA,FG
4woi,PAR,3167,CA,GU
4woi,PAR,3168,CA,HU
4woi,PAR,1655,DA,SW
4wra,PAR,1745,13,SI
4wra,PAR,1686,1G,AGA
4wsd,PAR,1749,13,YI
4wsd,PAR,1697,1G,NIA
4wt8,3V6,3001,C1,PD
4wt8,3V6,3001,D1,RD
4wt8,PAR,1601,Ab,ND
4wt8,PAR,1601,Bb,OD
4x62,PAR,1601,A,X
4x62,PAR,1603,A,Z
4x62,PAR,1606,A,CA
4x64,PAR,1601,A,X
4x64,PAR,1603,A,Z
4x64,PAR,1606,A,CA
4x65,PAR,1601,A,X
4x65,PAR,1603,A,Z
4x65,PAR,1606,A,CA
4x66,PAR,1601,A,X
4x66,PAR,1603,A,Z
4x66,PAR,1606,A,CA
4y4o,ARG,230,1B,PTA
4ybb,1PE,3203,DA,QV
4ybb,PG4,1670,AA,SF
4ybb,PG4,1642,BA,RH
4ybb,PG4,3217,DA,EW
4yhh,T1C,1601,A,V
4zer,ARG,229,1B,UOA
5a9z,NMY,3001,AA,DB
5a9z,NMY,1601,BA,EB
5aa0,8AN,3002,AA,HB
5aa0,NMY,3001,AA,GB
5aa0,NMY,1601,BA,JB
5afi,FME,105,v,RE
5br8,PAR,1601,A,V
5br8,PAR,1603,A,X
5br8,PAR,1606,A,AA
5dge,SPS,4113,1,BRA
5dge,SPS,3403,5,CHB
5dm7,HGR,6178,X,DH
5dox,HGR,3749,1A,UFA
5dox,HGR,3515,2A,HKB
5doy,HGR,3915,1A,MMA
5el6,PAR,1730,13,EI
5el6,PAR,1681,1G,GDA
5el7,PAR,1749,13,XI
5el7,PAR,1691,1G,GHA
5fcj,ANM,3401,1,FO
5hl7,62B,3003,X,IA
5ib7,PAR,1702,1G,ZHA
5ib7,SPE,1703,1G,AIA
5ib7,SPE,3436,14,EZA
5ib8,SPE,3458,14,XBB
5ibb,SPE,1733,1G,UKA
5ibb,SPE,3446,14,KCB
5ibb,SPE,208,1J,TCB
5iqr,PAR,1665,2,PM
5it8,1PE,3200,DA,HW
5it8,PG4,1670,AA,SF
5it8,PG4,1642,BA,SH
5it8,PG4,3213,DA,UW
5j5b,1PE,3202,DA,GX
5j5b,PG4,1670,AA,SF
5j5b,PG4,1601,BA,GG
5j5b,PG4,3215,DA,TX
5j5b,TAC,1678,AA,AG
5j5b,TAC,1602,BA,HG
5j7l,1PE,3202,DA,KX
5j7l,PG4,1670,AA,SF
5j7l,PG4,1642,BA,WH
5j7l,PG4,3216,DA,YX
5j7l,TAC,1680,AA,CG
5j7l,TAC,1643,BA,XH
5j88,1PE,3203,DA,BX
5j88,PG4,1670,AA,SF
5j88,PG4,1642,BA,SH
5j88,PG4,3216,DA,OX
5j8a,1PE,3202,DA,IX
5j8a,PG4,1670,AA,SF
5j8a,PG4,1642,BA,VH
5j8a,PG4,3216,DA,WX
5j8a,T1C,1680,AA,CG
5j8a,T1C,1643,BA,WH
5j91,1PE,3202,DA,GX
5j91,PG4,1670,AA,SF
5j91,PG4,1642,BA,UH
5j91,PG4,3215,DA,TX
5j91,T1C,1677,AA,ZF
5j91,T1C,1643,BA,VH
5jc9,1PE,3205,DA,FX
5jc9,PG4,1670,AA,SF
5jc9,PG4,1642,BA,TH
5jc9,PG4,3218,DA,SX
5mei,7MB,4216,1,MKA
5mei,7MB,4239,AR,PGC
5ndg,GET,2012,2,KJ
5ndg,GET,3810,1,UZ
5ndg,GET,2014,6,DHA
5ndg,GET,3851,5,XYA
5ndj,8UZ,2201,13,ED
5ndj,8UZ,2201,1G,DL
5ndj,8UZ,3002,1H,WS
5ndj,8UZ,3003,1H,XS
5ndj,8UZ,3004,1H,YS
5ndj,8UZ,3005,1H,ZS
5ndj,8UZ,3002,14,PSA
5ndj,8UZ,3003,14,QSA
5ndj,8UZ,3004,14,RSA
5ndj,8UZ,3005,14,SSA
5ndk,8UZ,2201,13,ED
5ndk,8UZ,2201,1G,OK
5ndv,PAR,3401,1,AF
5ndv,PAR,3406,1,FF
5ndv,PAR,3423,1,WF
5ndv,PAR,3432,1,FG
5ndv,PAR,3434,1,HG
5ndv,PAR,202,4,MKA
5ndv,PAR,1901,2,VPA
5ndv,PAR,3402,5,TYA
5ndv,PAR,3405,5,WYA
5ndv,PAR,3419,5,KZA
5ndv,PAR,3426,5,RZA
5ndv,PAR,3428,5,TZA
5ndv,PAR,1903,6,TFC
5ndw,8UZ,3887,1,UX
5ndw,8UZ,3888,1,VX
5ndw,8UZ,3889,1,WX
5ndw,8UZ,3893,1,AY
5ndw,8UZ,3894,1,BY
5ndw,8UZ,2029,2,BDA
5ndw,8UZ,2031,2,DDA
5ndw,8UZ,220,4,LEA
5ndw,8UZ,3851,5,UVA
5ndw,8UZ,3855,5,YVA
5ndw,8UZ,3857,5,AWA
5nrg,95H,3001,X,AA
5o61,PHE,101,BW,MZ
5obm,LLL,3995,1,BCA
5obm,LLL,3997,1,DCA
5obm,LLL,4003,1,JCA
5obm,LLL,2044,2,PMA
5obm,LLL,4154,5,GQB
5obm,LLL,4161,5,NQB
5obm,LLL,4163,5,PQB
5obm,LLL,4166,5,SQB
5obm,LLL,4170,5,WQB
5obm,LLL,4175,5,BRB
