pdbid,rna_chain,ligand_chain,ligand_id,ligand_resnum
4w2i,AA,TL,NEG,3220
4w2i,AA,UL,NEG,3221
4w2i,CA,TCB,NEG,3174
4w2i,CA,UCB,NEG,3175
4w2i,CX,QDB,NEG,3004
4tua,XA,FY,PAR,1715
4tub,XA,BY,PAR,1710
4tud,XA,PW,PAR,1705
4tue,XA,CY,PAR,1715
4z3s,2A,PCC,4M2,3673
5doy,2A,YCC,HGR,3652
6az3,2,CC,PAR,1604
6az3,2,DC,PAR,1605
6ymj,C,R,ADN,102
6ymj,I,X,ADN,102
7rqd,1z,NVC,ARG,1001
4ts2,Y,I,38E,104
6yl5,K,nan,SAH,101
6ymi,O,AA,AMP,102
6ymj,O,EA,ADN,102
7tql,3,nan,5GP,101
8ceu,a,nan,G34,3001
