"ID","NAKB NA","NAKB Protein","NAKB Ligand"
"8HL3","ribosomal RNA, transfer RNA","ribosome",""
"8HL4","ribosomal RNA, transfer RNA","ribosome",""
"8HL5","ribosomal RNA, transfer RNA","ribosome",""
"8HSP","ribosomal RNA, transfer RNA","ribosome",""
"8HTZ","ribosomal RNA, transfer RNA","ribosome",""
"8HU1","ribosomal RNA, transfer RNA","ribosome",""
"8I7J","ribosomal RNA","ribosome",""
"8I9P","ribosomal RNA","ribosome, transferase",""
"8I9R","ribosomal RNA","ribosome, transferase",""
"8I9T","ribosomal RNA","ribosome, transferase",""
"8I9V","ribosomal RNA","ribosome, transferase",""
"8I9W","ribosomal RNA","ribosome, transferase",""
"8I9X","ribosomal RNA","ribosome, transferase",""
"8I9Y","ribosomal RNA","ribosome, transferase",""
"8I9Z","ribosomal RNA","ribosome, transferase",""
"8IA0","ribosomal RNA","ribosome, transferase",""
"8IDT","ribosomal RNA","ribosome, transcription, translation",""
"8IDY","ribosomal RNA","ribosome, transcription, translation",""
"8IE3","ribosomal RNA","ribosome, transcription, translation",""
"8IFB","ribosomal RNA, transfer RNA","ribosome",""
"8IFC","ribosomal RNA, transfer RNA","ribosome",""
"8IFD","ribosomal RNA","ribosome",""
"8IFE","ribosomal RNA","ribosome",""
"8INE","ribosomal RNA","ribosome, transcription, translation",""
"8INF","ribosomal RNA","ribosome, transcription, translation",""
"8INK","ribosomal RNA","ribosome, transcription, translation",""
"8IP8","ribosomal RNA","ribosome, translation",""
"8IP9","ribosomal RNA","ribosome",""
"8IPA","ribosomal RNA","ribosome, translation",""
"8IPB","ribosomal RNA","ribosome",""
"8IPD","ribosomal RNA","ribosome, transcription, translation",""
"8IPX","ribosomal RNA","ribosome, transcription, translation",""
"8IPY","ribosomal RNA","ribosome, transcription, translation",""
"8IR1","ribosomal RNA","methylase, ribosome, translation",""
"8IR3","ribosomal RNA","ribosome, transcription, translation",""
"8J1Z","ribosomal RNA","ribosome",""
"8JDJ","ribosomal RNA","ribosome",""
"8JDK","ribosomal RNA","ribosome",""
"8JDL","ribosomal RNA","ribosome",""
"8JDM","ribosomal RNA","ribosome",""
"8JIV","ribosomal RNA","ribosome",""
"8JIW","ribosomal RNA","ribosome",""
"8JSG","ribosomal RNA","ribosome, translation",""
"8JSH","ribosomal RNA","ribosome, translation",""
"8K2A","ribosomal RNA, transfer RNA","ribosome, translation",""
"8K2B","ribosomal RNA, transfer RNA","ribosome, translation",""
"8K2C","ribosomal RNA, transfer RNA","ribosome, translation",""
"8K2D","ribosomal RNA","ribosome, translation",""
"8K3O","ribosomal RNA","ribosome",""
"8K4E","ribosomal RNA","ribosome",""
"8K82","ribosomal RNA, transfer RNA","ribosome",""
"8KAB","ribosomal RNA","ribosome",""
"8OHD","ribosomal RNA","ribosome, translation",""
"8OIN","ribosomal RNA, transfer RNA","ribosome, translation",""
"8OIP","ribosomal RNA, transfer RNA","ribosome, translation",""
"8OIQ","ribosomal RNA, transfer RNA","ribosome, translation",""
"8OIR","ribosomal RNA, transfer RNA","ribosome, translation",""
"8OIS","ribosomal RNA, transfer RNA","ribosome, translation",""
"8OIT","ribosomal RNA, transfer RNA","ribosome, translation",""
"8OJ0","ribosomal RNA","ribosome, SEC channel, translation",""
"8OJ5","ribosomal RNA","ribosome",""
"8OJ8","ribosomal RNA","ribosome, SEC channel, translation",""
"8OM2","ribosomal RNA","methylase, ribosome, translation",""
"8OM3","ribosomal RNA","ribosome, translation",""
"8OM4","ribosomal RNA","ribosome, translation",""
"8ONY","ribosomal RNA","ribosome",""
"8ONZ","ribosomal RNA","ribosome, transferase",""
"8OO0","ribosomal RNA","helicase, ribosome",""
"8OVA","ribosomal RNA, transfer RNA","centromere, ribosome",""
"8OVE","ribosomal RNA","centromere, ribosome",""
"8OVJ","ribosomal RNA","centromere, ribosome",""
"8OZ0","ribosomal RNA, transfer RNA","helicase, ribosome, splicing, translation",""
"8P03","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P09","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P16","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P17","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P18","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P2F","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P2G","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P2H","ribosomal RNA, transfer RNA","ribosome, translation",""
"8P2K","ribosomal RNA, transfer RNA","ribosome, transcription, translation",""
"8P5D","ribosomal RNA","ribosome",""
"8P60","ribosomal RNA","ribosome",""
"8P8M","ribosomal RNA","ribosome",""
"8P8N","ribosomal RNA","ribosome",""
"8P8U","ribosomal RNA","ribosome",""
"8PEG","ribosomal RNA, transfer RNA","ribosome",""
"8PFR","ribosomal RNA","ribosome",""
"8PHJ","cyclic, ribosomal RNA, transfer RNA","CRISPR-Cas, ribosome",""
"8PKL","ribosomal RNA, transfer RNA","ribosome",""
"8PPK","ribosomal RNA","ribosome, translation",""
"8PPL","ribosomal RNA, transfer RNA","ribosome, translation",""
"8PV1","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV2","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV3","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV4","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV5","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV6","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV7","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PV8","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PVA","ribosomal RNA, transfer RNA","ribosome",""
"8PVK","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8PVL","ribosomal RNA","ribosome, transferase, translation, Zinc finger C2H2",""
"8Q5I","ribosomal RNA","ribosome",""
"8QBT","ribosomal RNA, transfer RNA","ribosome",""
"8QCQ","ribosomal RNA","ribosome",""
"8QFD","ribosomal RNA","ribosome",""
"8QOA","ribosomal RNA, transfer RNA","ribosome",""
"8QOI","ribosomal RNA","ribosome",""
"8QPP","ribosomal RNA, transfer RNA","nuclease, ribosome",""
"8QRK","ribosomal RNA","ribosome, translation",""
"8QRL","ribosomal RNA","methylase, ribosome, translation",""
"8QRM","ribosomal RNA","ribosome, translation",""
"8QRN","ribosomal RNA, transfer RNA","ribosome, translation",""
"8QSJ","ribosomal RNA, transfer RNA","methylase, ribosome, transcription, translation",""
"8QU1","ribosomal RNA, transfer RNA","ribosome",""
"8QU5","ribosomal RNA, transfer RNA","ribosome, translation",""
"8R3V","ribosomal RNA, transfer RNA","ribosome",""
"8R55","ribosomal RNA, transfer RNA","nuclease, ribosome",""
"8R57","ribosomal RNA","ribosome",""
"8R6C","ribosomal RNA, transfer RNA","ribosome",""
"8R6F","ribosomal RNA","ribosome",""
"8R8M","ribosomal RNA, transfer RNA","ribosome",""
"8RCL","ribosomal RNA, transfer RNA","ribosome",""
"8RCM","ribosomal RNA, transfer RNA","ribosome",""
"8RCS","ribosomal RNA, transfer RNA","ribosome",""
"8RCT","ribosomal RNA, transfer RNA","ribosome",""
"8RJB","ribosomal RNA, transfer RNA","ribosome, SEC channel",""
"8RJC","ribosomal RNA, transfer RNA","ribosome, SEC channel",""
"8RJD","ribosomal RNA, transfer RNA","ribosome, SEC channel",""
"8RPY","ribosomal RNA","ribosome",""
"8RPZ","ribosomal RNA","ribosome",""
"8RQ0","ribosomal RNA","ribosome",""
"8RQ2","ribosomal RNA","ribosome",""
"8RXH","ribosomal RNA, transfer RNA","centromere, ribosome",""
"8RXX","ribosomal RNA, transfer RNA","centromere, ribosome",""
"8S1P","ribosomal RNA, transfer RNA","ribosome",""
"8S1U","ribosomal RNA, transfer RNA","ribosome, translation",""
"8SCB","ribosomal RNA, transfer RNA","regulatory, ribosome, translation",""
"8SYL","ribosomal RNA, transfer RNA","ribosome",""
"8T4S","ribosomal RNA","ribosome",""
"8T8B","ribosomal RNA","ribosome",""
"8T8C","ribosomal RNA","ribosome",""
"8UD6","ribosomal RNA, transfer RNA","ribosome",""
"8UD7","ribosomal RNA, transfer RNA","ribosome",""
"8UD8","ribosomal RNA, transfer RNA","ribosome",""
"8UU4","ribosomal RNA","ribosome, translation",""
"8UU5","ribosomal RNA, transfer RNA","ribosome",""
"8UU6","ribosomal RNA, transfer RNA","ribosome",""
"8UU7","ribosomal RNA, transfer RNA","ribosome, translation",""
"8UU8","ribosomal RNA, transfer RNA","ribosome",""
"8UU9","ribosomal RNA, transfer RNA","ribosome",""
"8UUA","ribosomal RNA","ribosome",""
"8V83","ribosomal RNA","helicase, methylase, ribosome, splicing, transcription, translation",""
"8V84","ribosomal RNA","helicase, methylase, ribosome, splicing, transcription, translation",""
"8V87","ribosomal RNA","helicase, methylase, ribosome, splicing, transcription, translation",""
"8V9J","ribosomal RNA, transfer RNA","ribosome",""
"8V9K","ribosomal RNA, transfer RNA","ribosome",""
"8V9L","ribosomal RNA, transfer RNA","ribosome, translation",""
"8VS9","ribosomal RNA, transfer-messenger (tmRNA), transfer RNA","ribosome, translation",""
"8VSA","ribosomal RNA, transfer-messenger (tmRNA), transfer RNA","ribosome, translation",""
"8WHX","ribosomal RNA","ribosome",""
"8WHY","ribosomal RNA","ribosome",""
"8WI7","ribosomal RNA","ribosome",""
"8WI8","ribosomal RNA","ribosome",""
"8WI9","ribosomal RNA","ribosome",""
"8WIB","ribosomal RNA, transfer RNA","ribosome",""
"8WIC","ribosomal RNA, transfer RNA","ribosome",""
"8WID","ribosomal RNA, transfer RNA","ribosome",""
"8WIF","ribosomal RNA","ribosome",""
"8WKP","ribosomal RNA","ribosome",""
"8WQ2","ribosomal RNA","ribosome",""
"8WQ4","ribosomal RNA","ribosome",""
"8XSX","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XSY","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XSZ","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XT0","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XT1","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XT2","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XT3","ribosomal RNA, transfer RNA","ribosome, translation",""
"8XXL","ribosomal RNA","ribosome",""
"8XXM","ribosomal RNA","ribosome, translation",""
"8XXN","ribosomal RNA","helicase, ribosome, splicing, translation",""
"8XZ3","ribosomal RNA","ribosome",""
"8Y0U","ribosomal RNA","ribosome, translation",""
"8Y0W","ribosomal RNA","ribosome, translation",""
"8Y0X","ribosomal RNA, transfer RNA","ribosome, translation",""
"8Y36","ribosomal RNA","ribosome",""
"8Y37","ribosomal RNA","ribosome",""
"8Y38","ribosomal RNA","ribosome",""
"8Y39","ribosomal RNA","ribosome",""
"8YOO","ribosomal RNA","ribosome",""
"8YOP","ribosomal RNA","ribosome",""
"9BDL","ribosomal RNA, transfer RNA","nuclease, ribosome",""
"9BDN","ribosomal RNA, transfer RNA","nuclease, ribosome",""
"9BDP","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"9CL9","ribosomal RNA","isomerase, ribosome",""
"9FBV","ribosomal RNA, transfer RNA","ribosome",""
"9FQ0","ribosomal RNA","ribosome, transcription, translation",""
